text,source
"Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.",2
"Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution.",2
"Yesterday I worked out for a good hour or so. I'm really trying to lose weight so working out is becoming the most important part of my day. It was hard, and at times I became really frustrated. In the end I was happy I did it, it just wasn't enjoyable while I was in the process of working out.",2
Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! Very frustrating.,2
Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,2
"Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.",2
"Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.",2
"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.",2
"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?",2
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,2
"Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but it provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.",2
Work dominated my day yesterday. There was a mountain of work so I was somewhat frustrated that many things had to be disregarded in my personal life to finish work.,2
Went to visit my mom in the hospital she was just transferred from the ICU to a regular ward and she was alert and talking which was a huge change from a few days ago,2
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.,2
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed,2
"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.",2
"The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.",2
"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.",2
The kids had a half day at school and went for a hang out at different friend's homes.  I picked them up after work and both friends are from affluent families - we are not and the process of entering large mansions and speaking with the other parents makes me a bit anxious.,2
My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically I felt invisible.,2
My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on.,2
"My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.",2
My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused,2
"My dad was rushed to the hospital so health and fear were the most salient things.  Luckily it was ""just"" a bleeding ulcer",2
"It was just another day at work, where I didn't know if I would make good money or not so good money.",2
It was a frustrating day yesterday. My brother and I were unable to complete the repairs to my car and are going to have to work on it again this weekend. I also didn't make much money at my online job and didn't have time to put in a lot of work there.,2
"It was a day like any other, I went to work very early, I left very tired, but in the afternoon I felt a little nostalgic for my family, my parents and brothers live far away, lately we have not had the best of relationships and that puts me Nostalgic and sad.",2
"In an effort to continue to try new things as it relates to freelance work I did a gig yesterday for a show being setup in Tampa. I found that the lady that hired me treats workers as slaves, talks down to us, and doesn't appear to believe any of use had brains. I'm not certain if this was based on previous experiences or her personality, but it made for a long ten hour day and many frustrations. I never walk out on jobs, because I believe I can learn something new from every experience and try to do this with each undertaking. Tomorrow is a fresh day with new horizons to conquer, so let's see what it brings.",2
I'm tired of having bad food. It's like there is nothing in the kitchen. Oatmeal was ok but to follow it up with tuna and mayo for lunch made me feel ill. Then sloppy joes for dinner? Too strange of a combination for me. Makes me angry.,2
"I'm just returning from a trip to a beautiful, warm place and I have to spend the day in this gray, dull office looking at a computer screen and reading reports. So boring...",2
I worked all day so it was the biggest part of my day. This caused me a high deal of stress because I had a lot of work. Frustration also grew because what happened was we had a deadline to meet and it seemed impossible at the time.,2
"I work in a dog daycare and for 10 hours I'm in a loud smelly room with dogs fighting and defecating and trying to jump on me. Yesterday it was raining so we didn't get to even go outside for a run. I was exhausted and one of the dogs peed on my shoe, and it's the only pair I have so i knew it would mean I'd have wet shoes the next day. I was so exhausted and overwhelmed when I got off I cried in my car.",2
I went to my MRI to find out about the spot on my pancreas.  I did not like it because I felt trapped in the machine.  When I got home I had a vertigo attack that I think was caused by being in the MRI for so long.,2
I went to a cardiologist yesterday and was given a heart monitor.  I was diagnosed with SVT.,2
"I was having a lot of stomach issues. I had no idea why. Maybe I was just anxious. I was thinking about an old friend for a long, long time.",2
"I was extremely anxious while waiting at the doctor's office to find out my test results, and whether or not I would need a transplant soon.",2
I was attempting to read a book and couldn't oncentrate on it at all. I felt like I couldn't remember the last sentence I had read.,2
"I tried to accomplish something as part of a hobby, but failed after repeated attempts.",2
"I spent all day working, but made very little money. It was an extremely frustrating day. I would have quit early and done something more recreational, but I desperately needed whatever money I could manage to earn. I went to be feeling hopeless and frustrated.",2
"I spent a large part of the day yesterday with my husband in the car taking my niece, who has no car, to run some of her errands.  I felt anxious near the end of the day because I felt like I was spending too much time doing something I was feeling resentful about.",2
"I learned from my doctor yesterday that I am vitamin D deficient and that I also have to take medication for cholesterol.  I thought I was doing good, but apparently not.",2
I have some sort of inflammation in my larynx and my doctor doesn't know quite what it is but we are determined to treat it.  I just want to be able to drink coffee again!,2
I have had a sinus infection since late last week and it has made me feel lousy. Hard to work feeling like that.,2
"I have been sleeping a lot lately. When I get home from work, I usually need to take a nap. It can last anywhere from an hour to three hours. It is really frustrating because I am getting enough sleep at night, so I feel I am wasting my time.",2
I have a large project at work that has been very difficult. Yesterday I hit a large roadblock with it and I spent most of the day troubleshooting the issues. They're still not resolved and it's very frustrating. Because of this my work was the most salient thing about my day yesterday. I love my job but it can be very frustrating when problems happen that are difficult to fix. It distracting and I need some time to myself to think through the problems.,2
"I have a home recording studio in my attic that I sometimes hire out as a side gig. I had a group of three friends that scheduled a session with me yesterday evening who did not show up and did not call to let me know they weren't going to make it. I treat it as a side business and act professionally and expect others who reserve my time to treat it seriously - I ended up staying in for the evening waiting on them. It was slightly more obnoxious than usual because they were not only ""clients"" but are friends and it was a pretty disrespectful thing to happen.",2
I have a degenerative disease Inclusion Body Myositis in my skeletal muscles and must exercise regularly to slow down the progression of the disease and this is very frustrating.,2
"I have a big bill I need to pay in a few days, so after work I tried really hard to make money on mTurk to make up the difference.",2
I had what felt like a rather long and frustrating work day yesterday. It felt like everthing was just dragging at work.,2
I had to work alone today and close at work. It was stressful because I was the only person at work. That meant I was in control of everything. I had to answer phone calls interact with customers and solve any issues that arose. It was stressful.,2
"I had to walk into a shitshow, where there was no support staff, multiple call-offs, and openers had walk-in assignments. I had to do twice as much as normal.",2
"I had to take my roommate to the hospital. We weren't sure whether she had a problem with her appendix, or maybe a urinary tract infection or kidney stones. She has no insurance so we had to go to the emergency room. Fortunately, they saw her within 30 minutes because she was in pain. It turned out she had kidney stones. I went back home and waited for her to call me. When she called, we had to go to the hospital pharmacy to pick up four prescriptions, which I had to pay for. Fortunately, since she is poor, they only cost $4 apiece. She went straight to bed when she got home.",2
I had spent most of my day yesterday working and the only salient thing I noticed I was really anxious. I wanted to get off and go home.,2
"I had some stomach pains all day that worried me. I spent most of the day googling what was wrong with me and unsurprisingly was met with results ranging from it could be gas, to it could be kidney stones.",2
"I had pizza from a place I did not have since childhood, it was an interesting experience.",2
"I had my wisdom tooth extracted yesterday. It was the first one I've had to experience, so I was incredibly anxious.",2
"I had been sick for about 10 days and had not responded to treatment. So, I had to return to the doctor and seek a new direction in treatment.",2
I had an especially frustrating day at work yesterday and had to stay late to finish a project after the project file was corrupted and I lost a whole days work.,2
I had alot of work,2
"I found out yesterday that my relative has endometriosis cancer. Somewhat, we had a feeling about the result but it still made us sad and angry at the same time. She had the symptoms and when the doctor asked them to come earlier than the scheduled appointment, we kind of got the clue. I hope she can be treated and healed.",2
I found out yesterday I have a severe case of bronchitis. At first they thought it was pneumonia until the xray came back negative. I already deal with out of control asthma every day of my life. I'm confused how I got sick. I'm frustrated and upset/,2
I felt very obligated,2
I felt as if this were just a normal day but actually worse then normal. I had a lot of angry customers at work and I had less coworkers to help me.,2
I felt a bit nervous because I hadn't worked out in a while and I didn't know if my body would be able to handle the stress I was about to put it through personally. That was my biggest fear.,2
"I feel that sometimes I can be at my best then I have days where I feel like I'm nothing, it's something that bothers me a lot",2
I feel bad because I do have a very bossy and strict boss,2
I ate to much junk food yesterday,2
"I answered an email to my sister in law about Thanksgiving dinner. I told her I would not eat some of the foods being served because I don't eat a lot and I eat very healthy compared to her. She got angry that I had the nerve to say that and was very short and terse in her answer back. I was confused because I didn't say anything mean or nasty, just told her my feelings.",2
I am trying to eat more healthy and getting limited success.,2
"I am really struggling with my son. He has been diagnosed with autism and adhd but he is very high functioning and near genius level intelligence. Our problem is that he hates everyone in the house. He doesn't want to be part of a family. He doesn't want to have brothers or a mom. He wants to be alone all the time. He is 12. Obviously these are unrealistic thoughts he is having. He makes it so difficult to get along with him. He treats everyone badly and refuses to even try to change his negative behavior, instead using his diagnoses as an excuse for it. He has been to multiple different specialists, now we have one that comes to our home 3x a week and we have made no progress. In over three years. I'm tired.",2
I am looking for a job in a new career field and ding self employed task work in the meantime both did not go well yesterday and created a frustrating experience,2
I am frustrated at the levy failure yesterday.  As I work for the school district I'm nervous my job may go away in the budget cuts.  I'm also concerned for my two kids and how it will affect them in the next few years.,2
I am being transferred to Pittsburgh and I am supposed to start in January.  I have been going back and forth with HR about details of the relocation policy and I have to choose an option soon.  It's a big decision.,2
Glen stopped by last night so we could go over the state elections from Tuesday. He keeps seeing hope in these results where I see a repeat of 2016 That's his faith as an acadeic in these idioy polls.,2
Every night we have dinner as a family. It means a lot to us as it's a special time together to be calm and relaxed outside of work and school.,2
"All day, I struggled with period cramps and excessive bleeding. This is my first period in 10 months. I felt awful throughout the day so I was constantly reminded of it. Hot flashes, cramps, and having to change pads every hour or so.",2
"I was able to connect via phone with my old friend, Mary, yesterday, which was her birthday. We have been friends for over thirty years but we live thousands of miles apart for the past few year as so it has been hard to continue our communications. It made me realize the importance of enduring friendship as we caught up with each otherâ€™s lives on her special day, which turned out to be a happy and special day for me too.",2
My mom had her biopsy to test if she has cancer. I am very worried that she might have uterine cancer and it would be the fault of the doctors if it is more aggressive than we originally thought. The reason I blame them is that they have been denying her a hysterectomy for years despite her uterine fibroids cause her so much phyiscal pain and distress.,2
"Work was trash today as usual, rotten work, rotten clients, rotten bosses. Still, it's a means to an end, and I'll get a break in a couple days.",2
"I manage a state forest.  In managing the state forest I oversee close to 40,000 acres of land.  In managing this land I have to work with many landowners who live along our boundary.  I had an incident yesterday where I had two people almost come to blows with wild claims against each other. Their claim involved the forest and I was put in the middle of it.",2
"After leaving the doctors office yesterday, I came home and slept for 14 hours. I guess I needed it.",2
"My husband said he thought I must be losing weight because I look thinner. Since I've actually gained weight, I figure he's blinded by love, lol. But at least I'm hiding all this extra weight well with the way I'm dressing.",2
I slept on the couch and it was uncomfortable.  I did not get to sleep quickly and I kept waking up.  I thought about how terrible my life is while trying to sleep.,2
we went shopping and we were just being goofy in the store,2
I had a test that I prepared for but I was still nervous.,2
"school is taking longer than i was expecting. i am couple classes away from graduating with my stem cell engineering degree. but something always comes up. my mother has been sick lately, had to drop classes this semester to be able to attend to her. i have faith i will be able to finish but not in the time i thought.",2
"I really wanted to have sex with my boyfriend today, but he wasn't in the mood.  Story of my life!",2
I was supposed to finish writing some interrogatories this weekend but I felt too bad to do a lot. I drafted a couple but I've got a cold and really couldn't concentrate I kept falling asleep. Hopefully I'll feel better tomorrow.,2
A college budy was in my neck of the woods so he invited me to meet up for dinner. We ate at a delicious bbq place. I enjoyed catching up with him and reminicsing about old times.,2
"I was hungry yesterday, even after I ate a fairly large lunch. I think it has a lot to do with being so bored and unfocused. I tend to do that more often than I should. If I can't find something to focus on, I'll snack or eat more at lunch and dinner than normal which, in turn, makes me feel sluggish and irritable. It's a vicious cycle it seems like.",2
"I had lunch with me aunt and we discussed my future plans and I talked about the shortcomings that I thought could hold me back from achieving what I desire to. It made me feel anxious to talk about, and when she went on to tell an interminably long and irrelevant story I became a bit fidgety.",2
My health was the next important part of my day. Like I stated above my eyes were bothering me. I had red eyes due to an irritant in a makeup product. I then developed a cold that settled in my one eye. It caused me a ton of pain and I needed to make sure that I took care of it.,2
Work is obviously important because I need to make a living. Unfortunately I don't exactly love my job. My day shifts from long periods of boredom to bursts of chaos and frustration.,2
Very aggravating day at work. Nothing seemed to go right. We lost internet connection for several hours and now I am way behind on my work.,2
I just found out they may be cutting my hours at work. This is going to be problematic for me going forward.,2
I had some really disturbing dreams last night. In one I was struggling to stay afloat in water and in another a gunman attacked and just when I thought I was safe someone came and stabbed me in the back. Not good feelings.,2
I had an awkward encounter with my boss when he caught me texting while in my office...,2
Work sucked so bad yesterday. I wasn't feeling well because I've been sick so it was hard to concentrate. Or rather my brain wanted to concentrate more on how I my throat hurt rather than on the work I was supposed to be doing.,2
"I need help getting some money to fix my house, but nobody in the family gives a damn about me.",2
The market at work is slow and if it fosen't pick up soon some people with have their hours cut and am just done dealing with this job I will never go any higher then Office Manager,2
I only got 5 hours sleep the other night. I woke up early about 3:30 and after tossing and turning for over 30 minutes... disturbing my spouse I got up and went downstairs to read.  I get angry and concerned when I cant sleep at night.,2
"I couldn't sleep at all last night. I was tossing and turning and constantly waking back up. I don't know why, but it was a very long and lonely night.",2
Kids didn't want to settle down and do their homework. They just kept fighting among each other. They only settled down long enough to complain about dinner. Which I never really cook.,2
My oldest brother visited and talked about the issues his family is having. It was sad to hear about the negative things they are going through right now.,2
My husband was being a pain about my oldest daughter going to her boyfriend's again. I wish he would grow up and realize she is 16 and is going to have a life that doesn't involve us. Now and more so in the future.,2
I couldnt find much worrk online.Being in pain made the idea of working even worse.,2
I woke up feeling find. Went through most of the day feeling alright but then my back started hurting and wouldn't stop. Not long after that I hurt my arm trying to chase the cat back in the house. Shot pain up from my arm to my neck and into my shoulders. It was terrible.,2
My kids were grouchy in the morning and didn't want to get up for school.  It was so frustrating to try and get them out of bed but they also looked really cute sleeping.  I love them.,2
My fiance made pasta with vold shrimp and jar sauce was nasty.,2
I wanted to get a lot of work done in a small amount of time that I had.,2
I woke up very tired again yesterday. It is frustrating how little good sleep I get.,2
I was angry on my partner as he did not pick up my call when i called him to share my successful work done at my office.,2
One of my good friends is battling with alcohol addiction. I talk to him every day to help him out and steer him in the right direction. Sometimes he falls off the wagon and  it is frustrating.,2
Had to do some work in the morning that I wasnn't expecting so that was kind of annoying.,2
"Mturk was utterly dismal yesterday, with the majority of HITs from ******* who think paying $3 or less per hour is just fine.",2
At work today I was behind the whole day. I had to wait on the warehouse guys to do their jobs and because they are so incompetent and lazy I was behind in my job. I hate having to wait on others especially when it is just because they are lazy or inane.,2
There were so many projects due on a tight deadline at work that it was hectic and frustrating. I was in a hurry to get everything done and I wish people would give me the projects way earlier in the month/week vs. right at the last minute.,2
work is so slow so it makes the days go by super duper slow,2
I worked a lot of hours yesterday. It was exhausting.,2
i could not find much work yesterday on mturk and found it to be frustrating,2
My work yesterday was boring and frustrating,2
I just had a very busy day where I worked non-stop until the evening. It made me feel anxious as I felt I had so much to do,2
My health is not in good condition. I am still young but my dentals are terrible. I have arthritis and muscle pains. I've lived this life to years now already.,2
"Work was very frustrating and a lot is being dumped on me due to so many people leaving.  I had a meeting with my supervisor and another supervisor and coworker to try to distribute the work, but all-in-all nothing happened.",2
I always feel anxious but yesterday was fine at work. Just the usual struggle of finding things to do between projects and assignments. It was a fairly uneventful day after finishing my morning duties.,2
My daughter is having marital problems and is staying with me. Upset about them.,2
"I was surprised because I got a large bonus on my Mturk work and I wasn't expecting it at all. I am looking for a permanent job, but I'm working on Mturk so I can keep everything going until I find something. It's nice to get a surprise because it does give you a little more hope.",2
The disease also has the side effect of neuritis in my feet and the pain sometimes prevents me from a good nights sleep and this is very frustrating.,2
I was hungry but didn't have time to eat until the night and I ate a bunch.,2
"My wife not only has anxiety but she is also dealing with a lot of changes at her job, and we don't know where we'll be living in the future, or the status of either of our jobs.",2
Work was pretty boring yesterday but it took up most of my day. It was okay. Nothing much really happened. It made me feel bored.,2
I forgot to tell my friend I could not make it to dinner and had to white lie.,2
My spouse was having an emotional crisis about events from his childhood. I had to give him alot of emotional support and seek to help him find a resolution.,2
"I had a railcar loading improvement project meeting.  Several people wanted to change the scope of the project, which would be difficult at this stage of the project.",2
It was long and tiring.,2
I spoke with my husband. He said he has not been feeling well. He feels like he needs to change some habits. I said I would help him with whatever he needed.,2
"work was extremely busy yesterday, we were slammed with jobs, so it was pretty anxiety ridden.",2
A few annoying patients made the day go by slowly and with moderate amounts of frustration.,2
I do have so funny and annoying friends,2
I drove to the nearest town. It made me sad. I was thinking about my ex.,2
I waste 2 hours watching the worst move ever,2
teresa finally called back and it took her all of 10 minutes to get worked up again. I'm a about sick of this yeast and bi-polar  BS. I'll just handle it like the last 27 years. These autumn/holidays annual depressions are so predictable. She was rewriting history again. I wish she would quit taking every subtle difference of opinion as a personalttack!,2
"Work has been so busy, I find it hard to keep up and manage. I cannot wait until my vacation in December - I need the time off badly.",2
Dinner time is usually at 6pm and there was nothing available to make a complete meal. It made me feel anxious trying to find something for everyone when there was nothing as far as meat to cook because the meat was frozen. Everyone wound up having individual meals like sandwiches or noodles. to find something to cook for everyone in a short time. Another family member said they were going to make the dinner but by time 6pm was coming closer I did not,2
"I was at work for most of yesterday and was fairly busy. I was anxious to meet a deadline; however, the work was mind numbing data entry stuff. It took up the bulk of my time and mental energy.",2
"Woke up in 3 hours for no particular reason. Too bad, I'll be tired all day. Need to catch up this weekend.",2
"My cat again woke me up at 4AM, giving me about 5.5 hours of sleep.",2
I cooked a real meal.  It took way too much time and effort for how flavorless it was.  It tool forever to clean up and I got no help.,2
i went to take pics of my old house,2
"Had a test i wasnt ready for, and im not sure how i did on it.",2
"I tried to do some exercise yesterday beause i'm gaining weight, but don't have the motivation to do so.",2
"It was just an overall crappy kind of day yesterday, I think. I was bored and frustrated all day, eating garbage food more than I should, mainly just for something to do and when my partner got home from work, I just wanted to vent to them and have some companionship. They are having a rough time at work recently and they were also frustrated and hungry and contentious, so it didn't make for a good mix. I think we ended up just frustrating each other more than anything else.",2
Working on my health is an important part of my day and one that is noticeable to those around me often. I am working on losing some weight and trying to get in better health after some recent health problems. i am doing better but its still a struggle that bugs me each and everyday.,2
felt upset and disappointing because I did not exercise alot,2
Found out I have kidney issues.,2
Exercise is important because about a year ago I had several leg operations and I hope to be able to walk more confidently than I do now.,2
"I learned that my wife will mis another one of our dinner this Sunday because of her work. I've been patient with her, but I am starting to get frustrated and angry.",2
I feel anxious because my business is not doing so well.,2
One of my kids is have a hard time with his health so he is not sleeping well which means am not sleeping because am up with him almost allnight last night we only slept 4 hours,2
I had to be in a different class than i usually was and the children that were in the class were not good listeners. So it was a bit frustrating.,2
"I have been exercising and working hard, but have little to show in terms of weight loss. I wish it would come off quicker like it did when I was in my 20's. I try so hard but the scale barely seems to budge. It is very frustrating and I don't know what more I can do.",2
I was working the majority of the day otherwise.  But a lot of the tasks were repetitious.,2
My SO is recovering from a serious illness and has good days and bad days. Yesterday was a bad day for her and I felt so sorry for her. I wished there had been something I could do to make her feel wonderful but all I could do was help her and take care of her the best I could. She was glad to see yesterday end.,2
For dinner I had a Velveeta Gold Skillet. I never ever make this and now I know why. It was horrible. It tasted like puke. It was really gross and you could taste that it was not actually food. My family did not like it and I will not make it again.,2
I don't get enough sleep. I sleep in spurts throughout the day and am always tired. If I take sleeping pills they knock me out for two days and I don't get anything done. It's very frustrating.,2
I didn't exercise yesterday.,2
After my nap I tried to do some online survey but I was all foggy and disorented and only lasted attempting to work for a few hours before I layed down again,2
"I was hoping to get a good night's sleep.  However, while very tired prior to going to bed, I just laid there for about an hour wide awake.  Finally got up and watched TV until I got tired again.  Only managed to get a total of about 4 hours sleep.",2
I tried a vegetarian burger that everyone has been talking about. It was ok but not that great. Not sure if I would pay so much money for it again.,2
Had a meeting with our owner about our losses it was not good we are in the hole financially big time.,2
My job laid me off. I knew it was coming so i was not surprised but i was frustrated that i have to find a new job now and anxious that i will not have enough income this month.,2
I ate a bunch of Taco Bell. This was pretty gross and ruined any gains made during my workout.,2
"I usually enjoy watching YouTube, but I've been so focused on work lately that I couldn't. Yesterday, I would just sit there with a video playing not paying attention. There was just too much to think about. I was frustrated that I couldn't even enjoy my little time of freedom.",2
I was worried that I haven't been exercising at the gym. I went for a walk but would have liked even more moderate activity for my health.,2
I hate going to class right now. All I have is a computer class where I'm rotely going through task after task without a productive end.,2
I had a terrible headache.,2
My mother is older and having some health problems. I spoke to her on the phone and learned that she refused to take some medicine the doctor gave her. I am frustrated because I feel like she does not want to get better.,2
I'm so far behind in my school work and I wasn't happy with my last grade. I think the professor is an idiot who has no idea what he's doing. It feels like he's just going through the motions and that makes me anxious because I want a good grade.,2
we had pizza again so tired of pizza gross,2
"I didn't sleep well, it felt as though I was stressed out all night. I kept waking up and feeling like I needed to get up and do something. I couldn't think of anything to do, so I kept trying to go back to sleep.",2
My friend's mother passed. I learned about it and said special prayers and planned on the bouquet I would order today.,2
"My husband came home from work with a cold. He sounds awful, and he didn't take anything for it. I am anxious that I am going to get sick also.I don't want his cold.",2
Work was typical.  I was frustrated by the stupid paperwork and other crap that I have to do instead of just being allowed to do my job.,2
I want to be closesr with my family and I worry about them.,2
"While we had dinner, my girlfriend tried to cook chicken fajitas. It was a little unexpected and surprising",2
Remindes my of all the food cooked for me by my husband!,2
I don't get enough sleep lately. It affects me throughout the day as I don't function as efficiently as I would like to. I also am not in good mood's most mornings and I definitely attribute it to lack of sleep. My quality of sleep is also terrible.,2
"I forgot to bring my lunch to work yesterday, so my lunch consisted of pop tarts that I brought as a possible snack. It was pretty pathetic and I was super hungry all afternoon.",2
I had trouble sleeping last night,2
"I played video games that night trying to relax, in the end it made me bored, I should have picked a different one.",2
"I didn't lose my appetite. But I can only eat soft foods, especially the first day. So I was hungry and jealous of everyone around me eating normally.",2
I had to finish a tough project at work. I was afraid I wouldn't get int done on time.,2
I had been having trouble sleeping for over a week.,2
My back has been bothering me.  It has prevented me from getting a good night's sleep.,2
"I know that I should not be feeling sad about how things are going in my love life.  Things are actually really good.  I just felt like he does not miss me the way that I miss him and that he really does not care about me the way that I care about him.  I know that these things aren't true, but our conversation left me feeling frustrated and sad.",2
They don't make a lot of sense.,2
I fell asleep very early last night. I fell asleep around 8:30 PM last night. I usually fall asleep around 10-11. I was surprised to fall asleep so early and so easily. I must have really needed it.,2
The lights kinda disturbed us when they fell and our dog being scared.,2
Because I am sick I had to miss one of my children's parent/teacher conferences yesterday. I feel ashamed like a bad parent because I couldn't go and feel the teachers may look down on me for it.,2
"I slept in until almost noon. I never sleep that late, it was very surprising to me.",2
I am sick but it is just a cold. I cant do the things that I want to do.,2
At work it was a really slow day. I could not wait to get off and go home. There was too many things to do at my job. It was a really long tiring day.,2
I really am angry with my 18 year old son right now.  I wish that he would stop abusing substances.  He moved out.  I'd like him back but only under certain conditions.,2
The feeling is very funny,2
I slept terribly the night before.  My back started hurting really badly and I don't know why.  So I just tossed and turned for hours and woke up feeling bad.  I was confused because I'd been feeling physically fine recently and don't know where the back pain came from.  I also worried that my sleep was going to be affected like this going forward.,2
I went to sleep in my super cozy and wonderful bed. I always love going to bed!,2
I didn't get a good night's sleep as I am still jetlagged. I am not sure when I will return to normal.,2
I did not sleep well yesterday,2
My brother just found out he has lung cancer. I have been doing research on things like alternative therapy along with chemo and radiation and sending him the info. This is my older brother who I haven't seen in probably 5 years. I am planning a trip to go see him soon.,2
"Always more to do, and I take too many breaks.",2
Work was very boring yesterday. I did not work as many hours as I would have liked. I need to make more money so I am getting very frustrated.,2
Got message from my sons teacher saying he has missed a whole bunch of assignments over the past few days.  I was annoyed and frustrated as we've talked to him already and taken his phone away as it was becoming a major distraction for him.,2
Pissed sad mad and angry not knowing if they were going to ship my medicine out.,2
Had a terrible time getting comfortable when trying to sleep last night. Was so tired today I tried a nap and that didn't go well either.,2
It seems like things are not going as well as I would hope but I guess it is all in God's timing,2
There was not much to do,2
Had a dish my mom usually makes. Somehow it did not feel the same.,2
I only slept for 3 hours yesterday. Could not sleep because I was anxious about the approval of my project. Exhausted and beat down.,2
"Ugh, instead of cooking regular meals when my husband is gone I snack...off and on all day. Bad habit, but I did have some yummy, and not altogether unhealthy, food. Oh well....",2
I had been talking to someone who I had thought was a friend but they wound up telling lies. The friendship had turned quickly into something of a relationship more on their end and lies were told by me in order for them to send me money. I finally decided to tell them that I wanted to have the truth and honesty back which now has become very dramatic and time consuming. It is frustrating because they continue to play the victim despite the lies told by them and each conversation just goes in circles. I thought being honest was the best interest for the both of us but it seems to make things worse.I am frustrated that they do not see their wrong doings and due to me telling the truth they continue to bring up their hurt feelings and not acknowledging mine. I tried to block them and just stop speaking but was told to try and get more money from them which is what made things go horribly wrong but they did not even notice they were not even talking to me at all. They have personal information about me and keep using that as a weapon against me when all I want to do is either start over as friends as I intended or just stop communicating in whole.,2
